OID,FID_,X,Y,BCE_Hokian
121,121,1648354.820590256,6092575.504605223,0.72957195
122,122,1648331.437913135,6092512.870304391,0.53503922
123,123,1648092.723186647,6092496.496328868,-0.88499999
124,124,1651049.887919061,6092419.901276758,-0.628010307
125,125,1651034.759458431,6092400.09243648,-0.214602226
126,126,1648076.950164622,6092414.999272775,-0.88499999
127,127,1651025.174822293,6092390.204049489,-0.303104882
128,128,1651016.682165553,6092370.537358522,0.09814865
129,129,1651000.582135319,6092315.569328957,0.273796297
130,130,1656169.271825057,6092239.998277682,0.123562497
131,131,1650996.542662326,6092269.85867248,0.357017769
132,132,1648298.917673558,6092271.883501677,0.775296836
133,133,1648076.352434129,6092251.942617549,-0.88499999
134,134,1648290.606211038,6092201.270006093,0.777821016
135,135,1648293.173812223,6092176.419479157,0.854736824
136,136,1651062.448618444,6092158.398076613,0.378757784
137,137,1656030.600963407,6092093.39694168,0.457072862
138,138,1648281.717999636,6092129.028227245,0.619727148
139,139,1651225.6735049,6092095.862572234,0.530512823
140,140,1648293.19905088,6092100.286693611,0.854163282
141,141,1651146.130105282,6092080.818853511,-0.704999983
142,142,1656094.919127911,6092051.587338492,-0.807951798
143,143,1651128.505068651,6092074.337399668,-0.704999983
144,144,1651216.036222262,6092031.535266278,-0.535176975
145,145,1656039.537542207,6091995.31392884,0.590405199
146,146,1651241.854974387,6092018.524477935,-0.704999983
147,147,1655869.566710049,6091977.840343001,0.218847058
148,148,1655982.655392887,6091963.057610723,-0.88499999
149,149,1655970.428955702,6091953.758022693,-0.88499999
150,150,1655957.145915963,6091942.024821448,-0.782815507
151,151,1655920.945231712,6091914.355726006,-0.884999993
152,152,1655759.055223793,6091908.728881236,0.224294414
153,153,1655783.303785344,6091894.415261246,-0.012945457
154,154,1655904.226343116,6091895.086514804,-0.88499999
155,155,1648082.312135074,6091928.116012012,-0.88499999
156,156,1648300.757693809,6091963.731624302,0.76044763
157,157,1655807.673661645,6091873.611732043,-0.643899995
158,158,1655885.298667864,6091876.063775659,-0.88499999
159,159,1651269.079726096,6091910.577474139,-0.704999983
160,160,1655855.268346057,6091834.598169629,-0.026294105
161,161,1651317.663105847,6091852.589484048,-0.704999983
162,162,1655839.334396314,6091814.846602025,-0.241349199
163,163,1655748.644812176,6091792.328623792,-0.218413453
164,164,1655726.290475962,6091781.269660537,0.165333332
165,165,1655702.994690933,6091767.037334368,-0.00383528
166,166,1655799.080576857,6091774.636544985,-0.88499999
167,167,1655776.139936835,6091753.117924971,-0.884999995
168,168,1655611.462716995,6091730.110562903,0.709309635
169,169,1651455.709310632,6091742.124512651,-0.704999983
170,170,1655741.181088265,6091715.597438388,-0.88499999
171,171,1648349.133955432,6091754.638126658,0.616116443
172,172,1651467.753588225,6091728.334322329,-0.704999983
173,173,1655718.23342342,6091694.063703137,-0.88499999
174,174,1648363.821817651,6091717.968325524,0.239554527
175,175,1651544.401219391,6091698.891616103,0.63447292
176,176,1648113.850411302,6091762.953401819,-0.88499999
177,177,1655602.068350059,6091665.862942149,-0.88499999
178,178,1651568.218522135,6091679.648236642,0.587012191
179,179,1651584.755857828,6091669.42729096,-0.479793087
180,180,1655668.159028581,6091626.006005647,-0.364340416
181,181,1655686.435280299,6091649.785664375,-0.855555546
182,182,1651524.91970705,6091620.428759395,-0.704999983
183,183,1651747.47402412,6091593.97603834,1.000087988
184,184,1651814.036774914,6091572.191147492,-0.704999983
185,185,1648420.836430168,6091576.727552151,0.873694456
186,186,1651601.060370006,6091604.665545509,0.91735226
187,187,1651781.664698382,6091559.91342954,-0.704999983
188,188,1651933.615879831,6091539.768997067,-0.704999983
189,189,1655416.013014393,6091527.516502112,-0.88499999
190,190,1648427.730490528,6091527.446587554,0.670898096
191,191,1651998.038261553,6091497.095983906,-0.704999983
192,192,1648207.069653494,6091499.043577624,-0.758499996
193,193,1652038.508562404,6091458.538082559,-0.704999983
194,194,1655364.912958251,6091420.775695511,-0.50778301
195,195,1648219.157860587,6091469.090167246,-0.884999989
196,196,1651725.156332782,6091460.341990804,0.188825355
197,197,1652056.880954562,6091438.886898864,-0.704999983
198,198,1651660.785907846,6091467.503167178,0.45241131
199,199,1655358.334045383,6091397.564240894,-0.88499999
200,200,1648243.387513593,6091419.145784482,-0.88499999
201,201,1651627.959188614,6091400.38338911,0.881412494
202,202,1648235.16857316,6091409.226973139,-0.831199996
203,203,1655349.035277454,6091345.079810812,-0.88499999
204,204,1652108.529065815,6091360.55300069,-0.704999983
205,205,1652123.569445155,6091328.77681976,-0.704999983
206,206,1651570.604692663,6091406.277364896,-0.704999983
207,207,1648494.658471207,6091332.824660362,0.650323824
208,208,1651771.776961637,6091299.385391744,-0.704999983
209,209,1656008.043058832,6091264.620707587,0.564875
210,210,1656040.709039543,6091265.144009768,0.532599989
211,211,1656057.039771714,6091265.042393479,0.490769222
212,212,1651764.272648981,6091279.236687935,-0.704999983
213,213,1655938.577741301,6091255.436305298,0.051803571
214,214,1655755.987140237,6091251.848219994,0.519023363
215,215,1651790.46607698,6091259.968590661,-0.704999983
216,216,1652136.865912169,6091289.961746021,-0.704999983
217,217,1655715.02470194,6091230.365146633,0.370481205
218,218,1656081.174541507,6091227.370246825,-0.85182757
219,219,1652219.145014521,6091257.493975245,1.293242322
