OID,FID_,X,Y,BCE_Waimea
419,419,1612486.993434635,5428652.203338686,1.067176088
420,420,1615096.501030671,5428647.560899288,2.086112748
421,421,1611940.096861929,5428987.995183814,1.523543213
422,422,1611986.165600073,5428653.517493392,1.252479948
423,423,1612490.711158651,5428627.266001914,0.949171417
424,424,1612579.372570008,5428616.540282468,1.511272742
425,425,1612543.969736073,5428638.937334026,1.29768293
426,426,1614949.717090636,5428579.410096267,0.749491246
427,427,1612258.380818741,5428713.51191514,1.459168776
428,428,1612617.868693365,5428565.606090402,1.452173953
429,429,1612627.95698369,5428556.26217758,1.509055531
430,430,1612640.553490202,5428546.453042137,1.483215438
431,431,1614980.131403546,5428493.206465575,1.222837824
432,432,1613659.448843442,5428509.349731024,1.377067441
433,433,1615223.622580251,5428490.011660066,1.456486111
434,434,1614066.575707067,5428465.805184264,1.488823981
435,435,1612500.037755268,5428498.560958557,0.89432801
436,436,1612572.946820067,5428427.881106213,0.660730772
437,437,1612738.299721251,5428424.933623275,1.02347057
438,438,1614069.123179269,5428414.418847672,1.314779663
439,439,1612595.474934968,5428407.897337197,0.904173061
440,440,1617558.136519888,5428388.332729302,-0.478554846
441,441,1612614.818764776,5428387.049034893,0.978586544
442,442,1617537.285852967,5428360.713158923,0.460893774
443,443,1617694.083790919,5428337.235290603,-0.236391299
444,444,1613716.531186918,5428341.964024879,1.104251854
445,445,1612675.202434712,5428347.470395461,1.529894404
446,446,1617359.920319889,5428323.082435565,-0.032370004
447,447,1612721.280007446,5428315.033993762,0.785776123
448,448,1618490.166085766,5428241.844549323,1.158818212
449,449,1612715.425640051,5428245.983323329,1.682476149
450,450,1612745.192399985,5428235.675882725,2.146842106
451,451,1612775.378893971,5428216.499396483,1.969814791
452,452,1612633.546040622,5428223.900218661,1.372602703
453,453,1612787.277482283,5428255.270348672,1.031148683
454,454,1612804.788647097,5428195.638399203,1.536361092
455,455,1612848.130231532,5428189.496266572,0.841043482
456,456,1618536.448378357,5428155.708091867,0.614857142
457,457,1612865.936417965,5428157.909447998,0.777377288
458,458,1612293.936785428,5428404.254718333,1.521993979
459,459,1617015.263267688,5428148.702682168,0.50199536
460,460,1618513.816504856,5428125.840230972,0.559025319
461,461,1612444.730872032,5428128.725676537,1.932921739
462,462,1614527.168769668,5428103.270346689,1.199695635
463,463,1612841.402468361,5428025.96746717,1.332714577
464,464,1617540.551511134,5428013.563281738,1.144413969
465,465,1618407.83708668,5427986.980924189,2.306626881
466,466,1612831.803154709,5427993.425354965,1.47645664
467,467,1615128.080141142,5428037.827786664,0.429245778
468,468,1618400.12819684,5427977.282705989,2.576444427
469,469,1612871.072935621,5427978.397323121,1.060329535
470,470,1616949.050568844,5428036.906500581,1.028192281
471,471,1613187.345226529,5427968.727922375,0.588000001
472,472,1616874.259862527,5427965.219168251,0.768309078
473,473,1617508.464029006,5427954.8531239,1.099999964
474,474,1618370.396224286,5427956.809793497,1.911274464
475,475,1612782.672390141,5427938.868286329,1.233057735
476,476,1613055.480612676,5427984.371035108,1.409815068
477,477,1618299.186562867,5427918.160461845,2.369450604
478,478,1618264.937212438,5427896.813638248,0.952129215
479,479,1612609.785723767,5427899.076227682,1.172975023
480,480,1612628.584188652,5428028.39439508,1.450795662
481,481,1612932.991384262,5427888.740381432,1.565730775
482,482,1613376.818351691,5427903.366473635,1.787166776
483,483,1616819.026915169,5427901.756347238,1.240228876
484,484,1613166.237035025,5427868.172271088,0.945775009
485,485,1613392.749087373,5427867.546836756,1.095763594
486,486,1616794.789041584,5427860.692852728,2.342306632
487,487,1618156.244118193,5427874.885087891,1.389030891
488,488,1618155.694487533,5427858.750756823,3.608269185
489,489,1618075.104965385,5427848.322337599,1.518073178
490,490,1613406.911254455,5427853.424304206,1.479447925
491,491,1616859.00081625,5427846.722746775,1.364203254
492,492,1612669.88987523,5427839.202846676,1.061746851
493,493,1617971.644621178,5427827.960675282,1.369291306
494,494,1613040.321305977,5427872.641058463,1.37495714
495,495,1613147.761716304,5427828.897204914,1.081137267
496,496,1613440.516725975,5427830.116623749,1.823937765
497,497,1617956.579409632,5427818.025491236,1.941985742
498,498,1616759.736699952,5427839.491689108,1.359002176
499,499,1616737.781169635,5427801.740060729,2.255553843
500,500,1617941.030007123,5427798.854093087,1.381236373
501,501,1612726.365600083,5427799.271179118,1.076575311
502,502,1616914.951629018,5427790.60723161,1.794440018
503,503,1612857.092303182,5427797.266662016,0.958177227
504,504,1612936.336610151,5427844.888263353,1.389489077
505,505,1616714.119255896,5427779.935071346,2.330641739
506,506,1616962.140220368,5427771.235580391,1.547512395
507,507,1612782.573367675,5427749.306262157,1.173202896
508,508,1612895.211791171,5427749.286321698,1.348612006
