OID,FID_,X,Y,BCE_Kawhia
120,120,1759971.528908072,5784750.208602648,0.449263342
121,121,1760043.294753572,5784745.579030715,0.515349062
122,122,1760243.830549153,5784741.780236747,0.529215684
123,123,1760353.986011021,5784739.09359049,0.508363637
124,124,1759802.896677247,5784739.741188564,-9999.0
125,125,1759939.605427906,5784794.407786104,0.223611234
126,126,1760376.082196148,5784739.554992901,0.529676725
127,127,1760537.109195012,5784736.780560452,0.507428063
128,128,1760645.362018203,5784723.381487978,0.495925936
129,129,1759344.791004605,5784755.118560876,0.278448418
130,130,1760543.031196841,5784715.010794537,0.518222229
131,131,1760582.122899167,5784714.655920552,0.533888887
132,132,1761602.835218514,5784698.873230114,-9999.0
133,133,1759361.01391837,5784718.479735698,-0.422888895
134,134,1760166.905602468,5784707.559108323,0.561943441
135,135,1760231.25399129,5784705.917300552,0.543121215
136,136,1760628.730420457,5784697.999764755,0.52872477
137,137,1759314.009131946,5784723.69393135,0.508536234
138,138,1760550.01231733,5784685.372089035,0.529854546
139,139,1761555.336470331,5784669.966138647,-9999.0
140,140,1759998.196374623,5784686.255138783,0.41722642
141,141,1760262.643769855,5784694.286880373,0.528864225
142,142,1759871.90822668,5784678.346526047,-0.063388892
143,143,1759890.102301916,5784686.562310473,0.056628343
144,144,1760527.399718574,5784666.39260263,0.552373423
145,145,1759955.871520033,5784709.811378644,0.35825149
146,146,1759871.525167222,5784658.825200616,-0.03570909
147,147,1760360.241181273,5784648.285738613,0.500192306
148,148,1759319.868306915,5784659.451588537,-9999.0
149,149,1760075.159722649,5784666.184212289,0.46966512
150,150,1760348.238922808,5784639.276898976,0.488825
151,151,1761554.344026198,5784616.034216679,-9999.0
152,152,1759952.222943837,5784642.192127786,0.355096771
153,153,1760131.390240145,5784636.309432619,0.479382028
154,154,1760432.4476241,5784627.24756943,0.509899654
155,155,1759289.776594372,5784657.991047184,-0.003837894
156,156,1759787.920809228,5784625.666589461,-9999.0
157,157,1760313.851951031,5784642.207577242,0.491072528
158,158,1760382.116848334,5784624.31589699,0.473679437
159,159,1759930.026657923,5784629.2427916,0.332839436
160,160,1760517.041663082,5784596.271790189,0.494454552
161,161,1759952.821436928,5784596.604400172,0.368714284
162,162,1760307.42395,5784590.894272066,0.431224296
163,163,1762628.422830592,5784544.426738995,0.067999999
164,164,1759240.207884023,5784606.410101372,0.304358139
165,165,1759767.868591598,5784590.845622841,-9999.0
166,166,1760386.889748917,5784579.267169651,0.419122648
167,167,1761641.724445183,5784574.506349278,-0.448794498
168,168,1760386.503263206,5784558.070849928,0.392429909
169,169,1759889.854734184,5784563.210438807,0.172464452
170,170,1759949.770590926,5784565.903749129,0.293079293
171,171,1762395.544959027,5784499.586899408,0.128887848
172,172,1759860.630491987,5784582.569800142,0.012498818
173,173,1762628.873848816,5784479.382987397,-0.17383148
174,174,1759925.40600806,5784536.091937798,0.251747826
175,175,1759209.407257013,5784545.349420737,-0.207959714
176,176,1763312.203944973,5784440.997075753,-0.199056607
177,177,1759863.253808835,5784510.751268418,0.095423245
178,178,1759943.838278407,5784498.227564559,0.398235852
179,179,1759742.273507516,5784491.625825205,-9999.0
180,180,1759726.220191646,5784476.982322908,-9999.0
181,181,1759946.862034002,5784472.653435466,0.339596638
182,182,1759172.296466945,5784481.521665122,-0.833999991
183,183,1760190.687026529,5784452.696703144,0.349425927
184,184,1762152.551505197,5784418.5065566,0.174845455
