OID,FID_,X,Y,BCE_Manuka
70,70,1752415.871885197,5911694.346998538,0.319119384
71,71,1756750.772185729,5911549.578967066,0.905000002
72,72,1756766.590631393,5911539.317413966,1.005851832
73,73,1762082.603796962,5911435.652780787,1.334999979
74,74,1756802.830355022,5911530.500015544,0.294686434
75,75,1752395.925005416,5911595.962434262,-0.036282051
76,76,1756830.048942238,5911508.235771956,0.10856597
77,77,1751635.359513014,5911613.450756718,0.045205158
78,78,1756784.72243524,5911507.013061925,0.685903776
79,79,1762607.07369523,5911387.889010623,5.017907021
80,80,1752404.832294742,5911569.084503762,-0.131578944
81,81,1752421.157700286,5911568.791443843,-0.082452831
82,82,1756813.678191121,5911488.598339337,0.69330001
83,83,1762598.800576204,5911379.54857694,3.67298702
84,84,1762710.463975758,5911377.713929906,1.420727309
85,85,1751540.681356169,5911574.380994543,0.465874992
86,86,1751615.367110701,5911573.451511443,-0.026666667
87,87,1752412.812477515,5911558.77040094,-0.146
88,88,1756821.495380915,5911478.48404844,1.146230767
89,89,1762592.19566347,5911369.967977338,2.230952388
90,90,1762726.303999353,5911367.564639749,1.419818215
91,91,1752420.634768768,5911548.660333237,-0.16925
92,92,1756837.313811282,5911468.221948852,0.759275011
93,93,1762478.243001036,5911362.87102499,1.158999977
94,94,1762742.287215316,5911357.813787668,1.421320785
95,95,1762757.927273513,5911347.017929258,1.400357119
96,96,1752436.365830827,5911538.619548961,0.125249344
97,97,1762089.018282386,5911349.658430081,1.121000004
98,98,1762597.971476055,5911347.574610014,1.46142858
99,99,1762773.910416019,5911337.267014835,1.40075469
100,100,1756858.767298947,5911478.919143772,-0.167775246
101,101,1762789.550397447,5911326.471095229,1.389636367
102,102,1756844.578599049,5911428.208114934,0.483549998
103,103,1762805.533466492,5911316.72011847,1.401199968
104,104,1751479.681566382,5911520.301022016,-9999.0
105,105,1756860.239139332,5911418.15009706,-0.64162499
106,106,1762620.715227858,5911309.56496628,1.463703694
107,107,1762821.330998064,5911305.719892696,1.413874982
108,108,1751491.693449688,5911505.847236063,0.651805558
109,109,1762129.02912877,5911308.998116263,0.28075
110,110,1762829.141142133,5911295.599829065,1.394375008
111,111,1751499.960090157,5911496.830695552,0.639787226
112,112,1762836.95126711,5911285.479757467,1.378846144
113,113,1751515.363236218,5911485.520390099,0.596478873
114,114,1751544.92807643,5911538.072183412,0.360331687
115,115,1762104.644687815,5911289.523229647,0.168860758
116,116,1762844.775312474,5911276.08640923,1.382999976
117,117,1756831.534616203,5911373.790003534,-9999.0
118,118,1756851.843305391,5911388.194277829,-0.611208329
119,119,1751531.388341442,5911465.698216535,0.588124998
120,120,1756497.330872982,5911369.493202435,-0.424435713
121,121,1756839.289191904,5911358.516350605,-0.187278468
122,122,1761644.067227867,5911266.611218601,0.171527272
123,123,1761812.042805766,5911265.921900398,-0.076153845
124,124,1761828.031404064,5911264.890154859,-0.070374999
125,125,1761868.122704183,5911266.004595857,-0.01924686
126,126,1762028.188868323,5911267.719308972,-0.222758626
127,127,1762060.066971273,5911260.464030107,-0.882975587
128,128,1762857.674700613,5911251.889738437,1.352884596
129,129,1751547.066383244,5911445.518362603,0.475333337
130,130,1761376.92481971,5911258.700721879,-0.03
131,131,1762868.014317248,5911235.759511798,1.351320759
132,132,1751554.896585189,5911435.48417065,0.456852452
133,133,1751579.143191392,5911454.425794633,0.081960538
134,134,1756391.333551678,5911348.912195293,-0.482665142
135,135,1761547.996310379,5911252.612883344,-0.167063243
