OID,FID_,X,Y,BCE_Opua_I
274,274,1697563.646473896,6096315.952391994,-0.071565042
275,275,1698323.294228737,6096302.928972393,-9999.0
276,276,1702101.886131453,6096263.848261637,-9999.0
277,277,1702817.515759289,6096263.632717546,-9999.0
278,278,1696493.152043675,6096313.580409965,1.195179651
279,279,1702798.540537974,6096247.446684461,-9999.0
280,280,1696598.815819871,6096299.247038597,1.068530626
281,281,1698159.665722661,6096284.782108678,-9999.0
282,282,1698229.2782308,6096283.820205193,-9999.0
283,283,1702531.085735934,6096235.236979655,-9999.0
284,284,1702782.133931173,6096245.264035116,-9999.0
285,285,1698065.754823461,6096275.287644774,-9999.0
286,286,1698260.910022741,6096281.054959011,-9999.0
287,287,1698302.267614833,6096272.480523692,-9999.0
288,288,1698331.356057265,6096277.726276877,-9999.0
289,289,1698379.745620928,6096271.357960993,0.547338426
290,290,1697450.333302271,6096286.613921639,-0.105794303
291,291,1698090.161961312,6096265.405215001,-9999.0
292,292,1698114.669835617,6096264.791696631,-9999.0
293,293,1698273.999337471,6096263.404847538,-9999.0
294,294,1698343.011827398,6096262.072342076,-9999.0
295,295,1702737.784715525,6096231.449237092,-9999.0
296,296,1697346.542792757,6096263.489421687,-0.113696969
297,297,1698281.465599584,6096253.359324798,-9999.0
298,298,1699388.419437651,6096267.56833083,-0.240055595
299,299,1702522.307983707,6096196.410205193,-9999.0
300,300,1702543.334471216,6096196.547525381,-9999.0
301,301,1702721.756954749,6096206.585036336,0.224717365
302,302,1697325.893575876,6096243.788711425,-0.20195
303,303,1698167.456999464,6096234.6720226,-9999.0
304,304,1698363.055114939,6096236.956335283,-9999.0
305,305,1699517.853611585,6096289.951841325,0.093248296
