OID,FID_,X,Y,BCE_Mouter
159,159,1601629.833362143,5445521.439010818,-9999.0
160,160,1602106.954967214,5445533.354705284,0.92248325
161,161,1601912.952866631,5445511.461608274,0.478784311
162,162,1602198.981579279,5445499.903299788,1.381709068
163,163,1601321.572477332,5445491.5006084,-9999.0
164,164,1601361.632023648,5445499.124872438,-0.626758641
165,165,1601339.865332461,5445471.1765647,-0.413509437
166,166,1601461.075786071,5445475.413870661,-0.554298081
167,167,1601920.328629053,5445471.047092886,-0.001659999
168,168,1601174.017074886,5445461.233005919,-0.674557694
169,169,1601370.017400482,5445461.198891484,-0.76866669
170,170,1601449.323481412,5445460.979086924,-0.359533328
171,171,1600697.085020399,5445450.837291415,0.420230769
172,172,1601190.446126831,5445455.005615595,-0.726171061
173,173,1601324.784748411,5445451.235147752,-0.274634634
174,174,1601437.86162481,5445450.804763848,-0.125245273
175,175,1601490.28335285,5445455.415114939,-0.809152961
176,176,1601685.2767955,5445456.939651989,-0.748400011
177,177,1601253.717376033,5445441.652148873,-0.499630013
178,178,1601354.936754702,5445441.257536428,-0.936000019
179,179,1601962.361155196,5445440.249713503,0.678705882
180,180,1602169.241817834,5445440.856685386,0.95755653
181,181,1601135.592950484,5445434.423223396,-0.580685587
182,182,1601385.088678708,5445431.279800529,-0.57101961
183,183,1601472.330529613,5445431.639292466,-0.599539217
184,184,1601314.021421046,5445421.697387796,-0.682380304
185,185,1601677.877757919,5445422.816310431,-0.568133352
186,186,1600824.022132514,5445411.79698057,0.209225489
187,187,1601362.469630843,5445411.339884941,-0.25142306
188,188,1601985.768612736,5445411.37618261,0.909084115
189,189,1602229.541838999,5445415.908330692,1.02138262
190,190,1600804.625258998,5445401.450510878,0.161725488
191,191,1601158.44627702,5445409.058838461,-0.55473016
192,192,1601428.82654421,5445402.023816434,-0.58879411
193,193,1601464.786089801,5445401.72455686,-0.771107842
194,194,1601513.236018788,5445401.338137921,-0.742230764
195,195,1601543.389668226,5445401.331831999,-0.561826907
196,196,1601965.540761292,5445401.230485368,0.341019604
197,197,1600774.470552923,5445391.481684856,0.288254903
198,198,1600872.469779394,5445391.470642328,-0.105019622
199,199,1600895.084985508,5445391.467907429,-0.888000011
200,200,1601332.312304345,5445391.401276944,-0.621056606
201,201,1601575.297065408,5445579.460193894,-0.704045679
202,202,1602274.750116582,5445395.904027067,1.246754698
203,203,1600434.133244331,5445403.418426716,0.619308825
204,204,1601143.850692142,5445381.46112065,-0.336320753
205,205,1601374.321386295,5445381.797960684,-0.745396033
206,206,1601035.092326871,5445371.881797255,-0.771561664
207,207,1601555.240676207,5445371.789613687,-0.727357171
208,208,1601573.688974071,5445371.204612555,-9999.0
209,209,1602015.69850812,5445371.349126088,0.995362755
210,210,1602263.450864851,5445371.023526671,0.994359996
211,211,1600854.27564464,5445367.058960156,-0.636364357
212,212,1601265.778150818,5445369.219364476,-0.718114304
213,213,1602025.736759978,5445360.794728586,1.059589054
214,214,1602289.833637298,5445366.02926356,1.094622712
215,215,1600782.601457564,5445354.406749329,0.046032565
216,216,1601554.838777542,5445351.264474864,-9999.0
217,217,1602033.203187788,5445350.732949085,1.053190482
