OID,FID_,X,Y,BCE_Mahura
446,446,1755336.884856728,5962588.99606037,-9999.0
447,447,1756310.216333748,5962572.436343783,0.754137927
448,448,1755344.548567394,5962579.143608016,-9999.0
449,449,1755328.477126196,5962569.20934902,-9999.0
450,450,1756294.19226412,5962541.811997926,0.614499993
451,451,1755320.046025006,5962549.452501438,-9999.0
452,452,1756285.501163517,5962512.178244691,0.591298694
453,453,1752488.167822524,5963270.346219883,0.642063496
454,454,1753983.648553768,5962526.974667065,-0.643307697
455,455,1755037.456048572,5962504.657416895,-9999.0
456,456,1753411.18242577,5962513.04376713,0.707058833
457,457,1753998.842615055,5962507.933578789,0.284020409
458,458,1755028.41496766,5962479.332686892,-9999.0
459,459,1755259.566038929,5962443.971987838,-9999.0
460,460,1755227.964400267,5962413.331235171,-9999.0
461,461,1753127.739095992,5962427.639938404,0.615879296
462,462,1755209.429214127,5962395.802149808,-9999.0
463,463,1755184.213913941,5962382.392924393,-9999.0
464,464,1753811.693020819,5962396.986596159,0.947000015
465,465,1755084.358202483,5962420.302530022,-9999.0
466,466,1755083.244073772,5962364.269362092,-9999.0
467,467,1754905.988950728,5962357.482767412,-9999.0
468,468,1755156.7336834,5962355.376321826,-9999.0
469,469,1756257.994873627,5962323.109769684,-0.150125003
470,470,1755730.678114492,5962465.573047268,-9999.0
471,471,1756056.71862763,5962930.852385433,0.722440793
472,472,1756304.763825795,5962280.989092983,0.447169812
473,473,1756365.207647143,5962236.509902531,0.479999989
474,474,1756409.151365928,5962220.720323587,0.494124999
475,475,1754876.825515867,5962239.932901574,-9999.0
476,476,1755663.603191403,5962242.073226742,-9999.0
477,477,1755651.076394077,5962184.576965274,-9999.0
478,478,1754838.380176193,5962179.254253615,-9999.0
479,479,1756576.355894419,5962137.089458575,0.806984138
480,480,1754829.973945445,5962159.467095559,-9999.0
481,481,1753203.621110436,5962168.747179614,0.372267861
482,482,1753187.505766149,5962158.863105115,0.474421688
483,483,1752978.24026366,5962162.574115868,0.737811725
484,484,1753202.839367057,5962148.622113843,0.489736834
485,485,1751845.239343424,5962162.640421904,0.954946214
486,486,1751953.79467886,5962173.560245369,3.78134967
487,487,1753102.640833106,5962140.431036744,0.622318749
488,488,1753142.647736975,5962151.186290964,0.565905179
489,489,1753210.452195677,5962318.859769003,0.372681075
490,490,1754941.87460564,5962103.113773238,-9999.0
491,491,1753316.417185492,5962128.435944512,0.146808619
492,492,1753372.09412499,5962125.678845506,0.326563022
493,493,1751984.693543103,5962146.499189653,5.174744575
494,494,1753388.975379982,5962118.996614438,0.362285706
495,495,1756607.081467069,5962066.849152374,0.777272707
496,496,1752285.175870155,5962124.984202659,3.602533307
497,497,1753042.927900928,5962120.223204995,0.707562508
498,498,1753337.595915524,5962119.985541509,0.314454547
499,499,1756590.746157155,5962048.563552028,0.744285701
500,500,1752010.828017086,5962128.757610177,2.780561787
501,501,1752341.340309027,5962114.02438019,0.426874997
502,502,1752304.945745904,5962104.697764478,0.412547175
503,503,1752373.358827946,5962103.4904267,0.275174129
504,504,1755632.991115828,5962039.536271466,-9999.0
505,505,1753437.816094385,5962017.783007827,-9999.0
506,506,1755615.695379332,5961975.865562569,-9999.0
507,507,1753457.508950509,5961985.739001896,-9999.0
508,508,1753489.988590078,5961964.08114478,-0.558344254
509,509,1753508.407654768,5961943.41235646,0.389939126
510,510,1755598.520358014,5961916.361066796,-9999.0
511,511,1755042.648628547,5961897.183371902,-9999.0
512,512,1753521.372138224,5961918.127841799,0.444024395
513,513,1755578.723668115,5961887.977651697,-9999.0
514,514,1751584.015001805,5961945.634472867,1.846385966
515,515,1752901.212513028,5961904.748521031,4.183571417
516,516,1753512.645582487,5961898.07324369,0.929679321
517,517,1755025.933235067,5961866.933378824,-9999.0
518,518,1751645.308783913,5961906.966516878,-9999.0
519,519,1751665.429767054,5961906.612996738,-9999.0
520,520,1755547.46342995,5961854.950497813,-9999.0
521,521,1751685.375621715,5961896.293721898,4.306060632
522,522,1755009.264482755,5961837.882832509,-9999.0
523,523,1753149.829756315,5961850.496583181,0.241346151
524,524,1754998.871293128,5961818.563998202,-9999.0
525,525,1755499.804392647,5961808.682046314,-9999.0
526,526,1753521.45955255,5961835.696426659,-0.512095243
527,527,1755483.845660351,5961798.598128967,-9999.0
528,528,1755461.043608652,5961793.228636534,-9999.0
529,529,1755402.326239484,5961760.592573648,-9999.0
530,530,1756585.325587713,5961724.057430962,0.363580251
531,531,1755357.355281266,5961740.89570071,-9999.0
