FID,X,Y,BCE_Manukau_Harbour_System_MHS__Seagrass
60,1752009.172756697982550,5911638.522379182279110,-0.641431344000000
61,1752220.983795296167955,5911582.350935081951320,-0.464909092000000
62,1752404.061325917020440,5911585.525783222168684,-0.061810699000000
63,1758683.717143006157130,5911441.958137685433030,-0.144575024000000
64,1751529.336947293253615,5911572.846527809277177,0.530869550000000
65,1752203.604761023540050,5911542.419021213427186,-0.597985597000000
66,1762272.411942102946341,5911351.939601324498653,0.184253928000000
67,1762345.096648582955822,5911348.054705653339624,0.170218068000000
68,1752231.926370716420934,5911516.664095457643270,-0.468525881000000
69,1758700.850034783827141,5911393.594383521936834,-0.233961517000000
70,1752347.572757490212098,5911500.323319195769727,-0.576428577000000
71,1752297.753579136449844,5911497.095682800747454,-0.594929182000000
72,1751746.554260850185528,5911597.412511492148042,-0.568097512000000
73,1762098.870009266305715,5911279.105245999991894,-0.015961542000000
74,1751572.124376117251813,5911467.487786628305912,0.087368420000000
75,1761912.299907984677702,5911272.843307685106993,-0.012068965000000
76,1761936.286194580374286,5911272.742984877899289,0.002187498000000
77,1762403.170166216092184,5911280.801184093579650,0.075954356000000
78,1751641.928745581768453,5911453.826582369394600,-0.548222233000000
79,1758715.335806716699153,5911327.613243027590215,-0.114071421000000
80,1761620.004928367910907,5911265.893951795995235,0.044666668000000
81,1756379.731206225929782,5911352.693698701448739,-0.191400012000000
82,1756520.009415748529136,5911359.892665950581431,-0.337050926000000
83,1761564.030277265701443,5911260.199969780631363,-0.135222222000000
84,1752326.729641504818574,5911421.323119720444083,-0.849205628000000
85,1756355.275945872301236,5911347.915932294912636,-0.124250000000000
86,1752341.688142518512905,5911409.916763335466385,-0.867330199000000
87,1752450.096134088933468,5911418.524313777685165,1.325043012000000
88,1756279.264025960816070,5911337.636526349000633,-0.190404996000000
89,1756332.864492113934830,5911337.945852580480278,-0.042325847000000
90,1762443.002245879499242,5911226.395798287354410,0.165043731000000
91,1756588.808428902877495,5911323.609561175107956,-0.258417213000000
92,1760163.027817230671644,5911256.582746483385563,0.149902176000000
93,1760191.031611304031685,5911256.054558766074479,-0.012393750000000
94,1760235.038549028337002,5911255.223776369355619,-0.060946333000000
95,1760283.059022334404290,5911255.044162197038531,-0.053559997000000
96,1760365.760014544241130,5911251.739007623866200,0.015429646000000
97,1760475.014445833628997,5911248.246045920066535,-0.081924998000000
98,1760608.930167609127238,5911246.167951394803822,-0.063674966000000
99,1762495.276515431702137,5911207.277751115150750,0.063437500000000
100,1752433.144030722090974,5911383.370568481273949,-0.529532108000000
101,1760914.565526798367500,5911221.261560830287635,-0.282556149000000
102,1761041.033446765271947,5911233.336189681664109,0.640899998000000
103,1761251.042165747378021,5911214.305980810895562,0.212230768000000
104,1762538.996847064699978,5911191.485424199141562,0.129487176000000
105,1752441.418101240415126,5911368.832221868447959,-0.363749996000000
106,1756657.709790455875918,5911291.295333885587752,-0.488417895000000
107,1756715.475307442015037,5911287.718553444370627,-0.043392861000000
108,1756672.510298233013600,5911281.095345132052898,-0.180012494000000
109,1759794.223251153482124,5911223.651992316357791,0.110600000000000
110,1761075.422281756298617,5911203.885425736196339,0.170766797000000
111,1761231.858550190692768,5911204.381085264496505,0.263390243000000
112,1762678.229441303294152,5911158.846194265410304,0.062012779000000
113,1751656.872382531408221,5911357.958998997695744,-0.939333280000000
114,1752456.373069149907678,5911334.985391229391098,-0.426388885000000
115,1758717.654047177173197,5911226.033937129192054,-0.303229164000000
116,1760065.565504523226991,5911206.656975474208593,0.139488930000000
117,1750516.348397818394005,5911363.145087745971978,0.936751604000000
