OID,FID_,X,Y,BCE_Waitem
441,441,1745667.514045739,5929960.525083464,4.098254944
442,442,1748414.706747823,5929913.053858344,0.890292219
443,443,1748544.213509123,5929926.726278663,0.49182093
444,444,1748618.935295471,5929914.665934055,-0.094050007
445,445,1742821.27536838,5929998.822753076,0.41510714
446,446,1748476.316823522,5929915.0713937,0.561348312
447,447,1749212.456938489,5929895.169947261,0.568591553
448,448,1749241.433250099,5929971.822549094,0.19417908
449,449,1749252.709924593,5929888.661256563,0.22221154
450,450,1749998.123034873,5929881.080202091,0.874342105
451,451,1748394.004258503,5929893.633311189,1.068594954
452,452,1749219.877703644,5929879.265740255,0.486075
453,453,1748385.821080431,5929883.796172148,1.080074978
454,454,1750005.874067622,5929861.211065386,0.94243056
455,455,1748377.651481944,5929873.941410566,1.11310127
456,456,1749227.55992394,5929859.207425417,0.450600005
457,457,1743012.613508464,5929963.865171727,0.435916669
458,458,1745803.644832718,5929913.341753493,-0.256839321
459,459,1748369.488063151,5929864.078869293,1.181636369
460,460,1749267.299962868,5929848.328428945,0.542611114
461,461,1750013.635849831,5929841.371568948,0.750869568
462,462,1742812.383828292,5929953.910596238,0.348644859
463,463,1745674.512539268,5929900.59194067,0.776352954
464,464,1748361.33040981,5929854.209134428,1.287168857
465,465,1748398.609326863,5929856.975088136,1.74447946
466,466,1748353.178166857,5929844.332720721,1.391164412
467,467,1748372.643743481,5929843.595328431,2.001527807
468,468,1748535.451135008,5929867.622758967,0.655318991
469,469,1742840.996822375,5929981.135250354,0.163979513
470,470,1745811.237859054,5929888.289714447,-0.315625025
471,471,1748510.367776744,5929841.213672374,2.253050047
472,472,1748946.052781232,5929824.431427604,0.713944442
473,473,1742820.100716725,5929918.890652133,0.298299998
474,474,1743028.574153451,5929915.402318898,0.485414633
475,475,1747101.948821644,5929846.090283669,0.717153859
476,476,1748349.239963994,5929827.096943325,3.21719923
477,477,1748609.612968026,5929821.382897875,3.546407377
478,478,1745914.964238048,5929856.611703168,0.672874994
479,479,1747094.566830447,5929835.677529394,0.618906251
480,480,1748637.356297991,5929819.679784465,-0.120045896
481,481,1749274.454428534,5929798.759954734,0.823314812
482,482,1747169.43248276,5929826.678310288,-9999.0
483,483,1745818.57543672,5929848.288780137,-0.595964289
