OID,FID_,X,Y,BCE_Kawhia
486,486,1765058.133178717,5783837.898571146,-0.193403857
487,487,1766188.465605626,5783813.392148362,0.776349469
488,488,1758932.769724722,5783944.035078995,-0.154533329
489,489,1765297.965528406,5783810.290773186,0.008392157
490,490,1765220.549745127,5783799.747870306,0.08350805
491,491,1758918.761995652,5783899.433698055,-9999.0
492,492,1765439.492367117,5783770.183526655,-0.153433965
493,493,1765844.699210546,5783761.150952992,0.552000004
494,494,1767689.452737564,5783733.052574527,1.302572241
495,495,1767680.014237321,5783698.849787778,0.991274315
496,496,1758901.598860433,5783892.361497895,1.051495804
497,497,1765674.286652981,5783752.508496357,0.621035803
498,498,1766079.164731925,5783750.409944301,0.524964333
499,499,1767663.607846141,5783682.229264541,0.90384246
500,500,1758870.318574189,5783840.545558893,-9999.0
501,501,1765627.980256402,5783713.135242222,0.434983332
502,502,1765971.145593611,5783701.194124774,0.139451516
503,503,1758862.244761205,5783830.730992778,-9999.0
504,504,1765600.604738991,5783701.61784479,0.077534883
505,505,1767633.747768484,5783664.810192612,0.612625196
506,506,1758854.171148926,5783820.916489704,-9999.0
507,507,1767907.307724868,5783629.553198542,0.488703695
508,508,1757789.293671048,5783781.783282458,-0.338363636
509,509,1757805.052335468,5783781.477979761,-0.177363636
510,510,1757399.07397449,5783779.361204536,0.148462022
511,511,1757072.016264037,5783775.420672537,1.106864875
512,512,1757131.411928577,5783775.141883323,1.010443395
513,513,1757335.85388184,5783770.961509971,0.23623009
