OID,FID_,X,Y,BCE_Whitia
333,333,1839824.087326796,5917160.870992458,-0.378481478
334,334,1840360.760362669,5917146.129568439,-0.673963641
335,335,1839695.65993991,5917154.916591754,-0.303508757
336,336,1839784.102136662,5917152.424547294,-0.353892844
337,337,1839772.000118962,5917135.593214215,-0.342916223
338,338,1840191.17088539,5917115.235944566,-0.579990733
339,339,1839604.838811591,5917124.044916075,-0.243886639
340,340,1839688.94916696,5917120.026317599,-0.291556716
341,341,1840351.342510432,5917096.514899322,-0.651178577
342,342,1839389.483381508,5917093.502921416,-0.115153844
343,343,1840140.644605132,5917125.589655564,-0.552963186
344,344,1839381.36551111,5917083.595822137,-0.097360004
345,345,1839373.58335004,5917073.288434541,-0.0865
346,346,1840189.457398757,5917041.229739633,-0.562400012
347,347,1840210.076692479,5917041.030807981,-0.574163646
348,348,1839349.655263091,5917051.61080058,-0.079842104
349,349,1839340.55460205,5917043.641443407,-0.09656364
350,350,1839329.262388402,5917034.503257004,-0.130768592
351,351,1840208.604062795,5917015.859268964,-0.567897208
352,352,1839315.719482653,5917025.261395805,-0.19809859
353,353,1839292.922706145,5917012.961736764,-0.247249997
354,354,1839555.282368045,5917009.229060965,-0.180745455
355,355,1839184.304878572,5916973.861241306,-0.229147872
356,356,1840437.256278398,5916867.654408872,-0.352778081
357,357,1840148.543353868,5916755.154538751,-0.156444439
358,358,1840673.726486373,5916653.753466556,-0.74799999
359,359,1840760.364715614,5916621.654852386,-0.326999992
360,360,1840780.509393938,5916598.099626165,-0.531286376
361,361,1840368.516270214,5916554.155318826,-0.318328001
362,362,1840535.804976633,5916532.636631465,-0.660090924
363,363,1840837.936662562,5916512.371673128,-0.593733341
364,364,1840004.628765552,5916537.85959672,-0.249758491
365,365,1840844.820112965,5916500.785694707,-0.238400001
366,366,1839983.671233019,5916506.702783881,-0.234700463
367,367,1840002.509976106,5916501.852137844,0.059
368,368,1840856.74850388,5916469.094516086,-0.375565372
369,369,1840654.709346368,5916471.297904903,-0.519005208
370,370,1840697.163047533,5916437.769395323,-0.453096005
371,371,1840874.825571317,5916430.592052406,-0.171869999
372,372,1838852.704268806,5916456.218174201,-0.151833333
373,373,1840602.829708603,5916435.741292705,0.001013699
