OID,FID_,X,Y,BCE_Coroma
357,357,1819872.552859902,5923304.846726565,-0.894119977
358,358,1820240.535294603,5923303.097406677,-0.899999976
359,359,1819919.888673304,5923274.430270499,-0.899999976
360,360,1820144.885329186,5923268.62287791,-0.899999976
361,361,1819994.999599488,5923232.595240504,-0.899999976
362,362,1817399.113821293,5923259.965339317,-0.20224324
363,363,1817341.452594249,5923116.142988793,-0.899999976
364,364,1817357.982035676,5923060.86726894,-0.899999976
365,365,1817379.901169194,5923053.280370599,-0.468551027
366,366,1817359.455872784,5923035.890926177,-0.899999976
367,367,1817203.499022022,5922895.243420527,-0.899999976
368,368,1816922.912097262,5922918.716420268,-0.898815729
