OID,FID_,X,Y,BCE_Kaipar
3707,3707,1711637.931718377,5995782.084245204,-0.104323604
3708,3708,1712592.632109471,5995746.02369281,0.906647062
3709,3709,1717349.791353361,5995680.525247701,1.58492208
3710,3710,1717874.917347932,5995673.448621658,1.78996201
3711,3711,1723085.895370694,5995601.394623756,0.82648
3712,3712,1724014.951075673,5995593.343316085,-0.842806245
3713,3713,1724628.879486992,5995579.614441378,0.209287501
3714,3714,1692516.295689317,5995969.820991671,1.590212085
3715,3715,1712511.031293448,5995734.278966662,1.124119973
3716,3716,1712647.781781935,5995732.514985704,-0.129282047
3717,3717,1715386.02148934,5995701.16130074,0.78715595
3718,3718,1716339.868301844,5995689.062949984,0.487062511
3719,3719,1717365.815066954,5995670.343262135,2.204399996
3720,3720,1717536.060009482,5995668.052172912,1.379054551
3721,3721,1723077.612684216,5995591.626010979,1.179320988
3722,3722,1725248.688582181,5995567.990110139,2.110472725
3723,3723,1712608.233193745,5995724.175046196,0.87789744
3724,3724,1712921.898352649,5995721.803694803,0.122291042
3725,3725,1714319.964655021,5995700.805107179,1.025875
3726,3726,1716323.511395792,5995674.331266854,-0.218755824
3727,3727,1717308.968836559,5995661.342167824,1.491892849
3728,3728,1717382.678308995,5995662.074293197,3.85927274
3729,3729,1722432.187180769,5995596.699217775,2.14464654
3730,3730,1724532.079264586,5995562.130260483,1.089129017
3731,3731,1724579.961174685,5995560.580333062,0.748754404
3732,3732,1724650.500616757,5995564.857250747,0.270624623
3733,3733,1725263.716268898,5995550.591939578,1.064699243
3734,3734,1692531.801296256,5995949.260766677,1.626493476
3735,3735,1708317.310174501,5995767.401900575,1.304475012
3736,3736,1714279.439969367,5995691.369690747,0.81346988
3737,3737,1714299.636964245,5995691.105201322,0.799590067
3738,3738,1723054.349781663,5995570.897916592,5.281744546
3739,3739,1724273.136242492,5995565.88193465,-0.05081865
3740,3740,1724548.133657852,5995552.215525053,1.090847426
3741,3741,1724590.746098231,5995549.854999604,0.83061018
3742,3742,1724730.762389768,5995550.317426448,0.033881579
3743,3743,1725303.476554777,5995540.638287386,0.948450461
3744,3744,1701488.348296338,5995853.240731493,0.491389065
3745,3745,1708310.035486233,5995757.179871662,1.33724564
3746,3746,1712938.840022832,5995704.40210227,0.175090087
3747,3747,1714343.939801338,5995680.558494148,0.255658228
3748,3748,1715362.065755473,5995682.109376154,0.510531247
3749,3749,1715394.022745534,5995666.938656831,0.896214302
3750,3750,1716162.144764118,5995655.79799426,1.489555594
3751,3751,1716307.088146887,5995654.617206492,-0.248249991
3752,3752,1717398.583598133,5995646.882153181,3.15018747
3753,3753,1717567.393415663,5995638.457287596,1.307245279
3754,3754,1717704.723649406,5995635.879495355,1.536299975
3755,3755,1722439.447777803,5995577.03883139,3.254161772
3756,3756,1724563.967370108,5995547.372667282,1.040444452
3757,3757,1724630.045214819,5995540.781580902,0.71755263
3758,3758,1724700.860242643,5995538.919988132,0.882526314
3759,3759,1724769.691257133,5995537.734958481,-0.118788823
3760,3760,1724870.6774343,5995536.290714244,-0.091737494
3761,3761,1725321.802352861,5995529.084540102,0.815440998
3762,3762,1709918.988424655,5995739.064484078,0.76267095
3763,3763,1716298.876549822,5995644.760165197,-0.281775
3764,3764,1717831.581898841,5995646.232024625,2.04095767
3765,3765,1723091.727440201,5995557.520346887,0.25615693
3766,3766,1724582.9365191,5995534.967058084,1.06821939
3767,3767,1692548.013105497,5995925.901522702,1.645843765
3768,3768,1709530.521471477,5995749.080387766,1.275310201
3769,3769,1709938.313352388,5995717.832387878,0.948645143
3770,3770,1709959.183370907,5995719.722838185,0.702446013
3771,3771,1714206.339686583,5995662.427234176,0.878050005
3772,3772,1716290.499242758,5995634.704177587,-0.349740757
3773,3773,1717300.354273751,5995621.591897945,1.489374959
3774,3774,1724606.5536642,5995527.617999296,1.011990331
3775,3775,1724684.577878382,5995519.017772269,0.826097567
3776,3776,1692556.411831499,5995909.923978572,1.655647063
3777,3777,1709948.760125159,5995707.193293404,0.935708862
3778,3778,1713186.542935511,5995789.822665632,0.309606598
3779,3779,1716129.453572057,5995626.367143841,1.543846114
3780,3780,1716977.229020369,5995615.761244413,1.074875004
3781,3781,1717921.374889898,5995649.504371377,1.791299528
3782,3782,1723084.659563042,5995531.963375295,0.303363634
3783,3783,1724235.695532238,5995536.429268071,0.078069966
3784,3784,1724701.240475774,5995510.700381543,0.953791659
3785,3785,1712527.585757871,5995708.008657773,1.186630577
3786,3786,1713163.920653973,5995656.073524019,0.382574998
3787,3787,1714157.606375379,5995643.132154463,1.050775012
3788,3788,1714210.118183277,5995642.445226796,0.325018985
3789,3789,1716121.477008201,5995617.04150456,1.544761183
3790,3790,1717372.955817567,5995600.481608514,1.429363666
3791,3791,1717607.080281888,5995597.530880985,1.436571458
3792,3792,1717977.950346345,5995592.321331707,1.787552074
3793,3793,1722471.411136826,5995545.034889063,2.421863514
3794,3794,1724716.910192126,5995499.042718134,0.968256755
3795,3795,1724756.84277919,5995498.252472837,0.925125005
3796,3796,1716650.821736634,5995611.760489402,-0.117283454
3797,3797,1716949.746114862,5995599.934001657,0.317460341
3798,3798,1717308.031253707,5995591.589166162,1.510232129
3799,3799,1717691.52939705,5995610.001787261,1.490309483
3800,3800,1722535.490170947,5995520.144943948,1.525271445
3801,3801,1724360.996526675,5995493.734249162,2.099437506
3802,3802,1724376.937829092,5995493.911646752,5.110960059
3803,3803,1724725.247386184,5995489.755897643,1.004932205
3804,3804,1709959.12269559,5995691.344115612,0.985666672
3805,3805,1714068.313896873,5995624.165898247,0.092963635
3806,3806,1714178.476300392,5995625.694930081,0.466724004
