OID,FID_,X,Y,BCE_Tauran
303,303,1858577.092502344,5842062.265772827,-0.038159293
304,304,1858631.788185454,5842059.9718603,-0.000727587
305,305,1859112.658277164,5842040.4283115,-0.663999975
306,306,1858777.030135242,5842011.449200653,-0.152000004
307,307,1858904.55086479,5842030.916267142,-0.180963338
308,308,1859353.679844857,5841533.036084162,-0.150172775
309,309,1859282.298689672,5841527.312734663,0.132335894
310,310,1859215.592793841,5841513.102257829,-0.241833334
311,311,1858920.917018713,5841492.359789137,0.019322174
312,312,1858892.819671946,5841483.257216373,-0.041637499
313,313,1866848.117297038,5841227.398165697,1.235000054
314,314,1866856.030831378,5841208.374800337,0.974083334
315,315,1859109.971875224,5841493.359254758,0.348158128
316,316,1866863.945483142,5841189.345993165,1.09417243
317,317,1866872.249348876,5841170.442723164,0.65070587
318,318,1866208.465100084,5842381.322161487,0.666077265
319,319,1858274.200429446,5841309.594539042,0.199415255
320,320,1858560.153285809,5841383.579689015,0.660636829
321,321,1858071.188636946,5841682.12167712,0.805860781
322,322,1859745.324039366,5841186.568831692,0.684903311
323,323,1860412.023987664,5840767.116482419,0.009712502
324,324,1867392.883539267,5840559.63920449,0.3688993
325,325,1860425.583661221,5840749.487226219,0.045798077
326,326,1867417.063826215,5840525.133297437,0.040857143
327,327,1860438.870098132,5840736.335683248,0.040762499
328,328,1867432.596361596,5840513.924498001,0.044615384
329,329,1867445.398804868,5840500.205196043,0.251744768
330,330,1867458.088079088,5840482.763631426,0.202126049
331,331,1860462.978971562,5840705.397875116,0.062295016
332,332,1860496.529964822,5840674.64950907,-0.008787098
333,333,1867478.299126226,5840452.570654248,0.295924049
334,334,1860512.093602434,5840664.181288684,0.007150001
335,335,1867489.885608485,5840442.216915091,0.425849998
336,336,1867517.348306087,5840431.351916318,1.190569614
337,337,1867509.088854725,5840421.637782224,0.5017875
338,338,1867524.965298354,5840421.125974544,1.266025005
339,339,1867521.904471739,5840398.223567564,0.042025
340,340,1860562.383200412,5840612.899828261,0.19784427
341,341,1867609.072638958,5840318.612002986,1.002275
342,342,1867655.41649084,5840277.197008266,0.721538471
343,343,1867670.971119329,5840266.715150645,0.7763
344,344,1867686.353936169,5840256.030830206,0.359796294
345,345,1867710.019101779,5840245.495139634,0.1285
346,346,1867725.895571309,5840244.982807816,0.216275001
347,347,1867693.648961657,5840235.835083413,-0.068072726
348,348,1860758.33711637,5840287.415331123,-0.058833332
349,349,1862783.270268211,5840173.432798169,-0.17524468
350,350,1862763.175680837,5840104.419073702,-0.203839289
351,351,1860816.054519679,5840063.924353687,-0.080811593
352,352,1860822.501876182,5840031.284833583,-0.087163637
353,353,1862757.808707926,5839934.933948626,-0.263963636
354,354,1862741.445725625,5839925.264477419,-0.237025638
355,355,1862740.814342058,5839905.325049449,-0.244624992
356,356,1868121.086975217,5840072.1301412,0.723905166
357,357,1868542.978052932,5839710.314207444,0.124849054
358,358,1860841.996266972,5839915.544112562,-0.14494444
359,359,1868595.776034215,5839623.044389336,0.496490568
360,360,1860866.713290063,5839794.045993819,-0.124142076
361,361,1860859.870890165,5839747.243497616,-0.027754464
362,362,1860867.322753574,5839704.970037762,0.025325001
363,363,1860886.486849562,5839523.06500143,0.012378996
364,364,1868763.386392681,5839460.504494905,0.811910407
365,365,1868940.8748315,5839238.329939137,0.166363638
366,366,1868964.918771359,5839226.842333362,0.459083332
367,367,1868979.89187087,5839216.376257888,0.705149998
368,368,1860142.08745954,5839429.794125047,0.208464637
369,369,1860880.587193075,5839372.788549999,0.07755387
370,370,1860189.485903048,5839371.983876068,0.166887148
371,371,1860241.660392541,5839309.8467603,-0.056317611
372,372,1860278.738943743,5839304.668376274,-0.085327102
373,373,1860316.586013098,5839288.706540925,-0.130583785
374,374,1860842.177291652,5839278.770199294,0.179518195
375,375,1860474.723325512,5839178.811055051,-0.184888896
376,376,1860493.237447067,5839177.830734035,-0.0735125
377,377,1860781.737890297,5839168.654799574,0.126227629
378,378,1860695.741501057,5839126.162423742,0.159142084
379,379,1859390.281221542,5838712.695487029,-0.098173076
380,380,1859402.369436929,5838679.832422603,-0.113729884
381,381,1860253.48814043,5838626.505434243,-0.084868421
382,382,1860229.366727006,5838617.282452389,-0.280974692
